Job Title,Company Name,Location,Experience,Link,Posted Date
Derivatives Analyst,Skywings Advisors,"Hyderabad, Chennai, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-derivatives-analyst-skywings-advisors-beawar-2-to-7-years-050924012418,2024-09-05
Data Scientist,Info Test Ehire Campaign,"Hyderabad, Chennai, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-data-scientist-naukri-ehire-campaign-hyderabad-bengaluru-10-to-15-years-050924012372,2024-09-05
BI Specialist,Cnsi,"Hyderabad, Chennai, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-bi-specialist-cnsi-chennai-4-to-6-years-050924012272,2024-09-05
Senior Data Analyst - Internal Audit,United Airlines,"Hyderabad, Chennai, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-senior-data-analyst-internal-audit-united-airlines-gurugram-india-4-to-7-years-050924012222,2024-09-05
Finance Business Analyst cum Executive Assistant,G4S,"Hyderabad, Chennai, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-finance-business-analyst-executive-assistant-g4s-gurugram-3-to-5-years-050924012141,2024-09-05
Tsql Developer,Renoirce Technologies,"Hyderabad, Chennai, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-tsql-developer-renoirce-technologies-hyderabad-8-to-13-years-050924011984,2024-09-05
"VP, Analytics Market analytics",Client of Live Connections,"Hyderabad, Chennai, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-vp-analytics-market-analytics-live-connections-hyderabad-10-to-15-years-050924011965,2024-09-05
Business Advisor - A,Capgemini,"Hyderabad, Chennai, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-business-advisor-a-capgemini-technology-services-india-limited-kolkata-2-to-5-years-050924911961,2024-09-05
Pega Lead business Analyst,Pega Lead Business Analyst,Gurugram,10-20 Yrs,https://www.naukri.com/job-listings-pega-lead-business-analyst-advance-career-solutions-gurugram-10-to-20-years-050924011933,2024-09-05
Team Leader Business Excellence,Hindustan Coca Cola Beverages (HCCB),Gurugram,10-20 Yrs,https://www.naukri.com/job-listings-team-leader-business-excellence-hindustan-coca-cola-beverages-hccb-bengaluru-4-to-9-years-050924011747,2024-09-05
Sr. Data Scientist,Express Analytics India,Gurugram,10-20 Yrs,https://www.naukri.com/job-listings-sr-data-scientist-express-analytics-india-pune-4-to-9-years-050924011728,2024-09-05
Etl Datastage Developer,Renoirce Technologies,Gurugram,10-20 Yrs,https://www.naukri.com/job-listings-etl-datastage-developer-renoirce-technologies-hyderabad-pune-8-to-13-years-050924011709,2024-09-05
Senior Data Engineer with Snowflake+ AWS+ Data Modeling,Coforge,Gurugram,10-20 Yrs,https://www.naukri.com/job-listings-senior-data-engineer-with-snowflake-aws-data-modeling-coforge-limited-noida-pune-bengaluru-4-to-6-years-050924011582,2024-09-05
Hr Analytics Specialist,upGrad,Gurugram,10-20 Yrs,https://www.naukri.com/job-listings-hr-analytics-specialist-upgrad-mumbai-bengaluru-3-to-8-years-050924011552,2024-09-05
Data Associate,Brickwork Ratings (BWR),Gurugram,10-20 Yrs,https://www.naukri.com/job-listings-data-associate-brickwork-ratings-bwr-bengaluru-1-to-4-years-030124004091,2024-09-05
AI Engineer - Python - Selenium Skills,Aaum Research And Analytics,Gurugram,10-20 Yrs,https://www.naukri.com/job-listings-ai-engineer-python-selenium-skills-aaum-research-and-analytics-chennai-1-to-2-years-050924010961,2024-09-05
Senior Web Analyst,Endurance International Group,Gurugram,10-20 Yrs,https://www.naukri.com/job-listings-senior-web-analyst-endurance-international-group-mumbai-all-areas-2-to-5-years-050924910593,2024-09-05
Risk Data Analyst (Senior Quantitative Analyst),Crisil,Gurugram,10-20 Yrs,https://www.naukri.com/job-listings-risk-data-analyst-senior-quantitative-analyst-crisil-limited-kolkata-bengaluru-4-to-8-years-050924010500,2024-09-05
Risk Analytics/ML Model Developer,Crisil,Gurugram,10-20 Yrs,https://www.naukri.com/job-listings-risk-analytics-ml-model-developer-crisil-limited-bengaluru-5-to-10-years-050924010458,2024-09-05
Group Lead/Team Lead,B2R Technologies,Gurugram,10-20 Yrs,https://www.naukri.com/job-listings-group-lead-team-lead-b2r-technologies-haldwani-3-to-6-years-050924010244,2024-09-05
Business Research Analyst – ASH,Refex Group,Gurugram,10-20 Yrs,https://www.naukri.com/job-listings-business-research-analyst-ash-refex-group-chennai-2-to-6-years-050924910227,2024-09-05
Artificial Intelligence Executive-Aftermarket,Paracoat Products,Gurugram,10-20 Yrs,https://www.naukri.com/job-listings-artificial-intelligence-executive-aftermarket-paracoat-products-gurugram-3-to-6-years-050924010053,2024-09-05
Senior Algorithm Developer,Applied Materials,Gurugram,10-20 Yrs,https://www.naukri.com/job-listings-senior-algorithm-developer-applied-materials-india-private-limited-bengaluru-6-to-10-years-050924910025,2024-09-05
Lead Software Engineer - Machine Learning,Opentext,Gurugram,10-20 Yrs,https://www.naukri.com/job-listings-lead-software-engineer-machine-learning-opentext-technologies-india-pvt-ltd-hyderabad-8-to-12-years-050924910009,2024-09-05
Looking For PowerBI Developer_Tavant,Tavant Technologies,Gurugram,10-20 Yrs,https://www.naukri.com/job-listings-looking-for-powerbi-developer-tavant-tavant-technologies-hyderabad-bengaluru-3-to-8-years-050924009925,2024-09-05
Business Analyst,Tata Consultancy Services,Gurugram,10-20 Yrs,https://www.naukri.com/job-listings-business-analyst-tata-consultancy-services-bengaluru-5-to-10-years-050924009851,2024-09-05
Power Bi Architect,Mresult Technologies,Gurugram,10-20 Yrs,https://www.naukri.com/job-listings-power-bi-architect-mresult-technologies-mangaluru-mysuru-bengaluru-9-to-14-years-050924009750,2024-09-05
Spark Scala Developer,Infosys,Gurugram,10-20 Yrs,https://www.naukri.com/job-listings-spark-scala-developer-infosys-hyderabad-pune-bengaluru-6-to-11-years-020724004001,2024-09-05
